ano;cod_uf;cod_munic;pib;prop_serv;pop;arrecad;educ;cod_reg;idade;area;larrecad;lpib;leduc;lpop;lprop_serv;a2001;a2002;a2003;a2004;a2005;a2006;a2007;uf_r
2001;31;3139300;40288.989;0.710663278247066;22261;230785.71;7.12913640032284;3;62;1968.082;12.3492448966213;10.6038334847954;1.96419010511599;10.0105915474503;-0.341556550320907;1;0;0;0;0;0;0;31
2002;31;3139300;47876.366;0.690639490056534;22540;191514.76;7.73137108792846;3;63;1968.082;12.1627201603507;10.776377258713;2.04528621917712;10.0230467875938;-0.370137313418784;0;1;0;0;0;0;0;31
2003;31;3139300;58460.469;0.620671602891178;22809;214980.48;7.70932922127988;3;64;1968.082;12.2783025122904;10.9761060612126;2.04243118265941;10.0349104738965;-0.476953156744144;0;0;1;0;0;0;0;31
2004;31;3139300;64536.135;0.606822580868842;23375;227972.52;7.89262560777958;3;65;1968.082;12.3369803743569;11.0749805784703;2.06592885615132;10.0594223541569;-0.49951881916646;0;0;0;1;0;0;0;31
2005;31;3139300;78631.317;0.58964955400658;23688;302621.71;9.18427161926872;3;66;1968.082;12.6202388226406;11.2725253341776;2.21749241440868;10.0727238697814;-0.528226894816189;0;0;0;0;1;0;0;31
2006;31;3139300;81496.415;0.643115786136114;23999;329924.98;8.84703748488513;3;67;1968.082;12.7066205742652;11.3083143105314;2.18008265550879;10.0857674417953;-0.441430499204145;0;0;0;0;0;1;0;31
2007;31;3139300;87794.563;0.648804835442942;20903;399873.17;7.68026004728132;3;68;1968.082;12.8989027008112;11.3827548528766;2.03865340690942;9.94764796832178;-0.432623323306515;0;0;0;0;0;0;1;31
2001;31;3139409;411756.081;0.66546831156575;68113;1544397.14;6.63406627438836;3;62;627.281;14.2501441915187;12.9281864166011;1.89221793058475;11.1289233696609;-0.407264258259987;1;0;0;0;0;0;0;31
2002;31;3139409;479232.914;0.653808657224241;68943;1897302.72;6.6073746482109;3;63;627.281;14.4559438144674;13.0799420087335;1.88818639617915;11.141035355225;-0.424940543384403;0;1;0;0;0;0;0;31
2003;31;3139409;511686.497;0.655270922656378;69788;2537953.77;7.3177667701122;3;64;627.281;14.7468687119605;13.1454674059361;1.99030519537476;11.1532173541998;-0.42270650648889;0;0;1;0;0;0;0;31
2004;31;3139409;633006.975;0.651937753134553;71561;2451321.87;7.64439420820695;3;65;627.281;14.7121379757977;13.358236720023;2.03397259598065;11.1783055118123;-0.427806192265623;0;0;0;1;0;0;0;31
2005;31;3139409;678495.372;0.667652974057427;72542;3144693.1;7.62650215122892;3;66;627.281;14.9612268598893;13.4276329373053;2.0316293065307;11.1919209834521;-0.403986740346356;0;0;0;0;1;0;0;31
2006;31;3139409;837642.439;0.680591865283941;73516;4478098.79;7.75456127046438;3;67;627.281;15.3147091370855;13.6383466046379;2.04828122126469;11.2052583485854;-0.384792469258372;0;0;0;0;0;1;0;31
